sex,stars,age,restaurant,id,race
Female,2,35,Taco Bell,1,Other
Female,4,31,McDonald,2,Other
Male,5,29,McDonald,3,Hispanic
Female,1,21,Burger King,4,Hispanic
Male,1,35,Burger King,5,Hispanic
Female,2,28,Taco Bell,6,White
Female,3,34,McDonald,7,Hispanic
Male,3,31,McDonald,8,Black
Female,5,36,McDonald,9,Other
Male,1,34,McDonald,10,Black
Male,5,28,Burger King,11,Other
Female,1,20,KFC,12,Other
Male,4,38,KFC,13,Black
Male,4,34,KFC,14,Other
Female,5,32,McDonald,15,Black
Female,5,36,Taco Bell,16,Black
Female,1,32,Taco Bell,17,Other
Male,1,32,KFC,18,Hispanic
Male,5,29,Burger King,19,Black
Female,5,33,KFC,20,Black
Male,2,26,Taco Bell,21,Other
Female,3,21,Burger King,22,White
Male,2,27,KFC,23,Other
Female,5,39,Burger King,24,White
Male,2,18,Burger King,25,White
Female,2,29,McDonald,26,Black
Female,4,34,KFC,27,Hispanic
Female,1,28,McDonald,28,Black
Male,2,25,KFC,29,Black
Male,5,21,KFC,30,Black
Female,1,30,KFC,31,White
Female,3,32,KFC,32,Black
Male,5,25,KFC,33,White
Male,1,33,KFC,34,Black
Male,5,22,McDonald,35,Black
Female,4,21,KFC,36,White
Male,5,30,KFC,37,Other
Female,1,38,McDonald,38,Hispanic
Male,3,29,KFC,39,White
Female,1,29,KFC,40,Hispanic
Female,1,22,Taco Bell,41,White
Male,1,23,McDonald,42,Black
Female,3,32,McDonald,43,Black
Female,3,32,Taco Bell,44,Black
Male,5,35,Burger King,45,White
Male,2,28,Taco Bell,46,White
Male,2,31,Burger King,47,Hispanic
Male,5,32,McDonald,48,Other
Female,3,28,Burger King,49,Black
Male,4,33,Taco Bell,50,Black
Male,5,24,Burger King,51,Black
Male,4,26,McDonald,52,Hispanic
Female,2,27,Taco Bell,53,Hispanic
Female,1,26,KFC,54,Other
Female,5,29,KFC,55,Other
Female,4,31,KFC,56,Other
Male,3,30,KFC,57,Hispanic
Male,3,29,Taco Bell,58,Black
Male,4,39,KFC,59,Black
Male,4,35,McDonald,60,Other
Male,4,36,Burger King,61,Black
Male,4,35,Burger King,62,Other
Female,5,23,McDonald,63,Other
Male,5,40,Burger King,64,White
Male,3,25,Burger King,65,Hispanic
Female,4,21,Taco Bell,66,Other
Male,3,25,Burger King,67,Other
Male,3,32,KFC,68,White
Male,1,28,Burger King,69,White
Male,3,24,Burger King,70,White
Male,4,23,KFC,71,Black
Female,1,25,Taco Bell,72,Black
Male,3,21,Taco Bell,73,Hispanic
Female,5,27,Taco Bell,74,White
Female,1,33,KFC,75,Hispanic
Female,5,31,Taco Bell,76,White
Male,3,30,Taco Bell,77,Other
Male,3,30,Taco Bell,78,Hispanic
Male,2,24,Taco Bell,79,Hispanic
Male,3,36,KFC,80,Hispanic
Male,3,37,Taco Bell,81,White
Female,3,20,McDonald,82,White
Male,4,20,KFC,83,Black
Female,1,33,Taco Bell,84,Hispanic
Female,4,29,Taco Bell,85,White
Female,1,27,Burger King,86,Other
Male,1,36,Burger King,87,White
Female,3,29,Taco Bell,88,Other
Male,2,42,Burger King,89,White
Female,2,15,Taco Bell,90,White
Male,2,40,Taco Bell,91,White
Male,3,29,Taco Bell,92,Black
Male,3,31,McDonald,93,White
Female,2,16,McDonald,94,Black
Female,5,36,Taco Bell,95,White
Female,1,23,Burger King,96,White
Female,5,32,KFC,97,Hispanic
Female,3,28,McDonald,98,Hispanic
Female,3,30,Taco Bell,99,White
Female,1,25,Burger King,100,Black
Female,1,33,KFC,101,Other
Female,1,30,Taco Bell,102,Black
Male,5,27,Burger King,103,Other
Female,4,32,KFC,104,Black
Male,4,30,Burger King,105,Hispanic
Female,1,29,KFC,106,Hispanic
Male,4,29,Burger King,107,White
Male,5,26,Burger King,108,Other
Female,2,39,Burger King,109,White
Female,2,34,McDonald,110,Black
Male,3,23,KFC,111,Other
Female,2,27,McDonald,112,White
Male,2,31,Taco Bell,113,Black
Male,5,21,McDonald,114,Other
Female,4,33,Taco Bell,115,White
Female,1,31,McDonald,116,Black
Male,5,35,KFC,117,Hispanic
Female,3,29,Taco Bell,118,Black
Female,3,38,Taco Bell,119,Hispanic
Female,4,33,KFC,120,Hispanic
Male,3,31,McDonald,121,Black
Female,4,24,Burger King,122,Hispanic
Female,2,31,McDonald,123,Black
Male,4,35,KFC,124,Other
Male,1,22,McDonald,125,Hispanic
Female,2,16,Taco Bell,126,Other
Male,1,30,Taco Bell,127,White
Female,3,23,Taco Bell,128,Hispanic
Male,1,28,McDonald,129,Hispanic
Female,1,32,McDonald,130,Other
Female,3,39,KFC,131,Other
Male,4,29,Burger King,132,Black
Female,1,36,Taco Bell,133,Other
Male,1,22,Taco Bell,134,Other
Male,2,28,Taco Bell,135,Hispanic
Female,4,35,KFC,136,White
Female,4,34,Burger King,137,Other
Male,3,40,Burger King,138,Hispanic
Female,5,40,McDonald,139,Hispanic
Male,2,33,KFC,140,Hispanic
Female,4,22,Taco Bell,141,Black
Female,4,36,McDonald,142,Hispanic
Male,3,30,McDonald,143,Other
Male,4,29,McDonald,144,Hispanic
Male,1,29,Burger King,145,White
Male,2,39,Burger King,146,Hispanic
Female,5,30,McDonald,147,Other
Female,2,27,Taco Bell,148,White
Male,4,24,KFC,149,White
Female,1,33,Burger King,150,Black
Female,2,29,Burger King,151,Black
Female,3,23,KFC,152,Hispanic
Female,1,27,Burger King,153,Other
Male,5,33,McDonald,154,White
Female,3,30,McDonald,155,Black
Female,4,29,McDonald,156,Hispanic
Female,3,25,KFC,157,White
Female,2,29,Burger King,158,Hispanic
Male,3,24,Burger King,159,White
Male,1,38,Burger King,160,Other
Female,2,36,Taco Bell,161,White
Male,4,27,McDonald,162,Black
Male,4,32,Burger King,163,Black
Female,2,43,Burger King,164,Black
Female,5,27,Taco Bell,165,Hispanic
Male,3,31,Taco Bell,166,White
Male,5,34,Burger King,167,Black
Male,5,34,McDonald,168,Hispanic
Male,3,29,KFC,169,Other
Male,1,27,Taco Bell,170,Hispanic
Male,5,30,McDonald,171,Black
Female,4,31,KFC,172,Black
Male,1,25,McDonald,173,White
Male,5,18,Taco Bell,174,White
Male,3,35,Burger King,175,Hispanic
Male,3,33,Burger King,176,Hispanic
Female,4,28,Taco Bell,177,Black
Female,5,33,KFC,178,Black
Female,4,32,KFC,179,Other
Female,3,32,Burger King,180,White
Male,3,31,KFC,181,White
Male,5,24,Burger King,182,Black
Female,3,33,KFC,183,White
Female,3,26,McDonald,184,White
Male,3,28,Burger King,185,White
Female,1,29,Burger King,186,Hispanic
Female,2,26,McDonald,187,Hispanic
Female,4,25,Taco Bell,188,Other
Female,4,26,KFC,189,Black
Female,2,30,McDonald,190,White
Male,2,24,Taco Bell,191,White
Male,3,34,Taco Bell,192,Hispanic
Male,2,34,McDonald,193,Hispanic
Female,5,37,KFC,194,Other
Female,5,36,Burger King,195,Black
Female,3,28,KFC,196,Hispanic
Female,5,35,Taco Bell,197,Other
Female,2,33,Taco Bell,198,White
Male,4,40,Taco Bell,199,Hispanic
Male,5,25,McDonald,200,White
Female,4,26,Burger King,201,Other
Female,5,31,KFC,202,Other
Female,2,28,McDonald,203,Black
Male,5,26,Burger King,204,Other
Female,1,29,Taco Bell,205,Hispanic
Male,3,30,Taco Bell,206,Black
Female,2,31,Taco Bell,207,Hispanic
Male,4,36,Taco Bell,208,White
Male,5,34,Taco Bell,209,Other
Male,5,35,Taco Bell,210,Black
Male,1,35,KFC,211,Hispanic
Female,3,26,McDonald,212,Other
Male,5,31,Burger King,213,Black
Female,1,26,KFC,214,Other
Female,2,24,McDonald,215,Hispanic
Female,4,28,Burger King,216,Other
Female,5,26,Burger King,217,Hispanic
Male,2,37,McDonald,218,Black
Female,2,29,Taco Bell,219,Black
Male,3,28,McDonald,220,White
Female,2,32,Burger King,221,Hispanic
Female,4,34,KFC,222,Hispanic
Male,5,30,Burger King,223,Other
Male,4,31,McDonald,224,Other
Male,2,28,McDonald,225,Black
Female,3,26,Burger King,226,Other
Female,1,30,KFC,227,Hispanic
Male,5,31,Burger King,228,Other
