Applicant ID,Division,Gender,Hired
1,E,Female,N
2,A,Male,Y
3,F,Male,N
4,F,Female,N
5,E,Female,Y
6,A,Male,Y
7,C,Female,N
8,B,Male,N
9,C,Female,N
10,F,Female,N
11,B,Male,Y
12,B,Male,N
13,B,Male,Y
14,E,Male,N
15,D,Female,Y
16,F,Female,N
17,D,Male,N
18,B,Male,N
19,D,Female,N
20,C,Female,N
21,A,Male,N
22,F,Female,N
23,A,Male,N
24,E,Female,N
25,E,Female,N
26,A,Male,Y
27,A,Male,Y
28,B,Male,Y
29,D,Male,Y
30,D,Male,Y
31,A,Male,Y
32,F,Female,N
33,C,Male,Y
34,A,Male,Y
35,B,Female,N
36,C,Male,N
37,C,Female,N
38,A,Male,Y
39,D,Female,N
40,C,Female,N
41,E,Female,N
42,F,Male,N
43,D,Female,Y
44,C,Female,N
45,A,Male,Y
46,C,Male,N
47,F,Male,N
48,A,Male,N
49,A,Male,N
50,A,Male,Y
51,B,Male,Y
52,E,Female,N
53,C,Female,N
54,A,Male,N
55,C,Female,N
56,E,Male,Y
57,E,Male,N
58,B,Male,Y
59,A,Female,Y
60,C,Female,N
61,A,Male,N
62,C,Female,N
63,B,Male,Y
64,C,Female,Y
65,D,Male,N
66,D,Male,N
67,E,Female,Y
68,D,Male,N
69,A,Male,N
70,A,Male,N
71,F,Female,N
72,A,Male,Y
73,D,Female,N
74,C,Female,N
75,E,Male,N
76,C,Female,N
77,D,Male,N
78,C,Female,Y
79,A,Male,N
80,D,Male,Y
81,C,Male,N
82,A,Male,Y
83,C,Male,N
84,F,Female,N
85,D,Female,N
86,E,Male,N
87,F,Female,N
88,C,Male,Y
89,B,Male,Y
90,A,Male,Y
91,F,Female,N
92,D,Male,N
93,F,Male,N
94,F,Female,N
95,C,Female,N
96,C,Female,N
97,B,Male,Y
98,F,Male,N
99,F,Male,N
100,B,Female,Y
101,A,Male,Y
102,C,Female,Y
103,F,Female,N
104,A,Male,Y
105,C,Male,Y
106,F,Male,N
107,E,Male,N
108,B,Female,N
109,E,Female,N
110,C,Female,Y
111,A,Male,N
112,D,Male,Y
113,F,Female,N
114,D,Female,N
115,A,Male,N
116,B,Male,Y
117,A,Male,N
118,F,Female,N
119,B,Male,Y
120,A,Male,Y
121,F,Female,N
122,C,Female,Y
123,F,Male,N
124,C,Male,N
125,E,Male,Y
126,B,Male,N
127,B,Female,Y
128,F,Male,N
129,A,Male,Y
130,C,Male,N
131,A,Female,Y
132,D,Female,N
133,A,Female,Y
